17473,1d2323
13002,202c2d
10023,1e282f
9606,1d2c34
9476,1d2829
8826,222929
8619,1e313a
8460,253031
7076,223d42
6967,192b39
6780,192425
6645,191f1f
6319,192c35
6285,1d3336
6125,294a52
5930,1d2f3d
5818,1e2b38
5798,1f3943
5797,2b3638
5759,243841
5740,2a5159
5730,182d43
5585,223139
5526,284349
5407,22383b
5262,23444a
5261,1d2227
5001,1a293d
4784,304a50
4780,182f3c
4696,192e31
4536,23424d
4430,1b394a
4412,254b52
4350,1d2e2f
4343,212935
4330,22282d
4294,17262e
4274,203747
4220,315761
4113,1e4152
4090,2a5667
4083,1e2d42
4004,234e62
3855,252e35
3828,1e383d
3754,244956
3727,192229
3642,2a4151
3629,153144
3576,26506a
3569,1b3b46
3523,24505e
3506,253644
3435,2d4349
3392,24525a
3321,235f79
3306,172532
3258,2a5861
3156,32535a
3144,1f4958
3122,2f6c8a
3070,1b3553
3004,5697be
2979,223334
2963,393c39
2935,296074
2922,32626a
2913,1f334d
2912,1b3c42
2878,1e444d
2862,25322e
2859,293130
2832,283e40
2744,1b435c
2741,2f6890
2741,162829
2684,21415a
2657,2f5d6f
2655,19495a
2564,397b99
2543,385259
2537,1b384e
2512,243e57
2481,162f4a
2480,2f6e84
2465,1d5266
2418,1d2a25
2403,1f3449
2390,2c3934
2328,2b505d
2303,4788b3
2229,212321
2222,366477
2180,488baa
2179,2a5b7f
2179,273939
2175,174252
2172,244153
2151,28373f
2129,14353d
2118,3f7179
2092,4e8ba6
2083,315d78
1981,3778a1
1973,424541
1957,253b5c
1952,25475a
1943,254c6f
1930,569bb8
1922,579fb3
1901,183236
1897,333d3e
1869,235c82
1855,39606b
1852,1b4062
1836,477d92
1804,418bab
1800,203d5f
1752,43616c
1717,376e83
1712,1f4f72
1700,568ca3
1668,3e6b87
1653,b8e1ea
1644,427a99
1573,5d9db6
1571,6badc4
1547,65adc1
1514,76afbe
1510,082638
1508,1e516c
1487,3e7c93
1486,2a5e7a
1465,2a3e56
1449,374646
1447,1d4a51
1412,236273
1409,2d4e69
1401,69a7cc
1369,445457
1364,4f98bf
1358,659db3
1345,6199be
1345,0e1f32
1338,87bdc7
1332,397f92
1326,2d4845
1290,39698e
1271,315a7d
1268,4f9cb6
1261,3f6e81
1257,80b0ba
1237,2c5063
1212,3d5388
1136,243449
1131,3e4644
1123,78bad0
1113,46808a
1110,376b89
1093,478da1
1090,37454d
1055,436461
1048,18546b
1046,42779f
1035,a6d1da
1033,56909a
1006,4c7271
994,19212c
990,104759
983,5a7d8c
982,317b99
976,64aac7
968,73abc6
961,0f1617
959,2d5657
948,375654
947,729faa
947,506f7b
923,5087af
923,272928
918,94cad8
915,638d9d
908,164b71
881,0f364a
870,507d8e
833,2a646e
829,3a5162
812,226593
806,0d2d35
803,3b6565
799,486f7c
792,65a0ab
783,234b4c
759,264949
755,335164
742,0e1b1b
729,0c2430
728,83bad1
726,a4d8e5
725,216b87
696,3a594b
688,54636c
672,596c61
661,6eb9d0
650,364e69
621,5a8687
611,96c1c9
607,08374d
591,1b3c6b
589,36707b
579,415d7c
573,25487a
571,124164
569,10445e
552,113c47
536,748981
533,22568b
523,44584c
522,2d639a
513,5ba5cd
488,2f312e
486,5dacc5
479,1b3259
454,243a61
430,05233d
429,0b3453
412,3c4959
412,384b3f
405,205c9c
401,418fa3
396,2e707c
379,336fac
368,11546c
367,2d3243
354,91a6a2
346,213252
336,4d5451
324,2a74a7
305,245794
262,0f4b77
260,1a2b4a
250,3985b3
235,1d202a
233,768590
232,283b69
207,244782
174,80b4db
169,233258
149,093b47
122,b8c6c8
104,2b4e89
76,e1e6e5
70,043555
64,1b2f5b
